Time,Altitude AGL,Airspeed,Target Airspeed,Vertical Speed,Target VS,Phase,Nav Distance
585.642,30.00237875,137.8710228,132.4982762,-1.657160283,-2.5,flare,4160.980527
586.142,29.14275627,137.3044301,132.4982762,-1.484741138,-2.5,flare,4123.801271
586.617,28.36965198,136.7571748,132.4982762,-1.386869162,-2.5,flare,4088.001163
587.125,27.61954433,136.1928954,132.4982762,-1.351343135,-2.5,flare,4051.110653
587.617,26.91544622,135.6409424,132.4982762,-1.374116732,-2.5,flare,4014.976895
588.133,26.13977105,135.0650339,132.4982762,-1.448021048,-2.5,flare,3977.156066
588.642,25.37398507,134.5031995,132.4982762,-1.558634845,-2.5,flare,3940.093886
589.142,24.54583574,133.9556302,132.4982762,-1.691983546,-2.5,flare,3903.781407
589.625,23.67296743,133.4312615,132.4982762,-1.832530033,-2.5,flare,3868.209936
590.125,22.73532805,132.8940523,132.4982762,-1.980127427,-2.5,flare,3832.771544
590.625,21.73387528,132.3618359,132.4982762,-2.123110086,-2.5,flare,3796.270188
591.117,20.67115378,131.8431677,132.4982762,-2.252556039,-2.5,flare,3761.693049
591.667,19.70942267,131.3982352,132.4982762,-2.352028191,-0.7005623936,flare,3737.919462
592.125,18.34575254,130.7530526,132.4982762,-2.372612577,-0.6339934938,flare,3689.371504
592.642,17.23529541,130.1982252,132.4982762,-2.18301034,-0.5752560858,flare,3652.832786
593.142,16.26403121,129.6478125,132.4982762,-1.898482579,-0.5223425949,flare,3618.198887
593.625,15.548492,129.1293819,132.4982762,-0.9187313099,-0.4905738687,flare,3583.700859
594.117,15.41093808,128.5786268,132.4982762,-0.1681448731,-0.478262824,flare,3549.353549
594.617,15.41717293,128.0004381,132.4982762,-0.1679509485,-0.4785239117,flare,3515.157059
595.117,15.40392935,127.4259885,132.4982762,-0.2057460544,-0.4780179309,flare,3480.530084
595.633,15.36979544,126.838161,132.4982762,-0.2357484789,-0.4763616112,flare,3444.33248
596.133,15.32949428,126.2749891,132.4982762,-0.2802696065,-0.474329603,flare,3410.581569
596.625,15.27493914,125.72806,132.4982762,-0.3068472654,-0.4713780614,flare,3376.972956
597.125,15.21294948,125.170071,132.4982762,-0.316182523,-0.4697307423,retard,3342.3736
597.617,15.15785618,124.6465996,132.4982762,-0.3133785719,-0.4697307423,retard,3309.051519
598.117,15.09836866,124.1408941,132.4982762,-0.3312140944,-0.4697307423,retard,3275.86808
598.642,15.03700506,123.8327457,132.4982762,-0.3204859176,-0.4697307423,retard,3240.555442
599.117,14.97080663,123.2683934,132.4982762,-0.3852114718,-0.4697307423,retard,3208.700266
599.625,14.86861429,122.4468658,132.4982762,-0.441463341,-0.4697307423,retard,3174.802184
600.117,14.74764698,121.6405774,132.4982762,-0.4818504689,-0.4697307423,retard,3141.683933
600.625,14.6000579,120.8084798,132.4982762,-0.5199074853,-0.4697307423,retard,3108.2413
601.125,14.441529,120.031252,132.4982762,-0.5607625841,-0.4697307423,retard,3075.567849
601.617,14.24884805,119.2851734,132.4982762,-0.6794186051,-0.4697307423,retard,3044.18677
602.133,13.93822878,118.571654,132.4982762,-0.9848343432,-0.4697307423,retard,3010.312769
602.633,13.42682645,117.9586357,132.4982762,-1.494434749,-0.4697307423,retard,2978.238004
603.125,12.89674971,117.4593558,132.4982762,-0.4029315732,-0.4697307423,disengaged,2946.86144
603.625,12.83873462,116.9753204,132.4982762,-0.2984062209,-0.4697307423,disengaged,2915.105709
604.133,12.78632022,116.4538478,132.4982762,-0.3604206714,-0.4697307423,disengaged,2882.962058
604.617,12.73168679,115.9600698,132.4982762,-0.2774522718,-0.4697307423,disengaged,2852.535701
605.117,12.70200167,115.3515542,132.4982762,-0.249305319,-0.4697307423,disengaged,2822.2348
605.633,12.67194263,114.4732541,132.4982762,-0.2656540925,-0.4697307423,disengaged,2789.00917
606.117,12.63435198,113.6113007,132.4982762,-0.2641731976,-0.4697307423,disengaged,2759.12182
606.642,12.59391005,112.6371334,132.4982762,-0.2673488934,-0.4697307423,disengaged,2726.912425
607.133,12.54779925,111.632357,132.4982762,-0.2573893391,-0.4697307423,disengaged,2697.509808
607.633,12.51387353,110.5341385,132.4982762,-0.2315503868,-0.4697307423,disengaged,2666.867175
608.142,12.48220487,109.2967945,132.4982762,-0.2065393185,-0.4697307423,disengaged,2636.536875
608.642,12.45967823,107.884006,132.4982762,-0.2053046259,-0.4697307423,disengaged,2607.049122
609.125,12.43004521,106.1538653,132.4982762,-0.19628918,-0.4697307423,disengaged,2579.412978
609.642,12.40238902,103.9551748,132.4982762,-0.1957418289,-0.4697307423,disengaged,2549.404632
610.117,12.3659226,101.4603276,132.4982762,-0.1890244257,-0.4697307423,disengaged,2523.316239
610.642,12.33015677,98.70656087,132.4982762,-0.1871093197,-0.4697307423,disengaged,2494.244203
611.117,12.29268577,96.19747159,132.4982762,-0.1727276109,-0.4697307423,disengaged,2469.012764
611.617,12.2589885,93.66991179,132.4982762,-0.1731433589,-0.4697307423,disengaged,2443.120167
612.142,12.22193675,90.99817583,132.4982762,-0.1494372765,-0.4697307423,disengaged,2416.661722
612.642,12.18901861,88.47388818,132.4982762,-0.151381112,-0.4697307423,disengaged,2392.55363
613.117,12.16283791,86.25278736,132.4982762,-0.1417521491,-0.4697307423,disengaged,2371.051913
613.625,12.13234054,84.36249103,132.4982762,-0.1086727928,-0.4697307423,disengaged,2345.780313
614.133,12.11566496,83.20764138,132.4982762,-0.09753389436,-0.4697307423,disengaged,2322.490613
614.617,12.10238338,82.46865577,132.4982762,-0.07382810415,-0.4697307423,disengaged,2300.582962
615.142,12.0952707,81.95472755,132.4982762,-0.05758993506,-0.4697307423,disengaged,2276.966181
615.633,12.08600492,79.20218763,132.4982762,-0.1009538553,-0.4697307423,disengaged,2255.157736
616.125,12.05560202,75.29566225,132.4982762,-0.09562324317,-0.4697307423,disengaged,2234.61354
616.617,12.02609362,71.25981414,132.4982762,-0.0989671667,-0.4697307423,disengaged,2214.413395
617.133,11.99418372,67.13850556,132.4982762,-0.1024323721,-0.4697307423,disengaged,2194.663932
617.617,11.95630904,63.18962666,132.4982762,-0.0917626717,-0.4697307423,disengaged,2177.234974
618.133,11.93323923,61.16647356,132.4982762,-0.06386848607,-0.4697307423,disengaged,2159.503296
618.625,11.9117513,58.31356328,132.4982762,-0.1326414572,-0.4697307423,disengaged,2143.396794
619.133,11.86992513,54.39115781,132.4982762,-0.1217606512,-0.4697307423,disengaged,2127.609045
619.617,11.85492506,53.29660039,132.4982762,-0.1060753811,-0.4697307423,disengaged,2113.654199
620.133,11.85049227,52.50546168,132.4982762,-0.07511038068,-0.4697307423,disengaged,2098.605817
620.617,11.84757614,51.31974181,132.4982762,-0.06453283418,-0.4697307423,disengaged,2084.650521
621.117,11.84020035,50.62549552,132.4982762,-0.03995167757,-0.4697307423,disengaged,2070.56657
621.642,11.83422377,50.13267512,132.4982762,-0.02972747979,-0.4697307423,disengaged,2055.804763
622.125,11.82509835,49.26474729,132.4982762,-0.001188506841,-0.4697307423,disengaged,2042.364355
622.617,11.81995006,49.01465315,132.4982762,0.03354097698,-0.4697307423,disengaged,2028.881157
623.142,11.82005397,48.88470923,132.4982762,0.04565814435,-0.4697307423,disengaged,2014.595072
623.625,11.82082273,48.76381262,132.4982762,0.04697081655,-0.4697307423,disengaged,2001.730942
624.125,11.82410323,48.63897755,132.4982762,0.04503509758,-0.4697307423,disengaged,1988.007628
624.625,11.8209038,48.51546129,132.4982762,0.05293878408,-0.4697307423,disengaged,1974.54415
625.125,11.8195369,48.39192969,132.4982762,0.0505978635,-0.4697307423,disengaged,1961.113167
625.633,11.81986425,48.25175018,132.4982762,0.04703991942,-0.4697307423,disengaged,1947.267716
626.133,11.81761407,47.71944691,132.4982762,0.02447116789,-0.4697307423,disengaged,1934.135101
626.625,11.81341188,47.50643271,132.4982762,0.02346308987,-0.4697307423,disengaged,1921.037169
627.133,11.81090093,47.38024766,132.4982762,0.02678932671,-0.4697307423,disengaged,1907.51973
627.65,11.80988108,47.2647136,132.4982762,0.02555872764,-0.4697307423,disengaged,1894.252867
628.125,11.81193599,47.15274409,132.4982762,0.02453464568,-0.4697307423,disengaged,1881.456469
628.642,11.80965216,47.03535197,132.4982762,0.02749250617,-0.4697307423,disengaged,1868.02833
629.158,11.80847737,46.91679353,132.4982762,0.03143724001,-0.4697307423,disengaged,1854.850574
629.617,11.80688898,46.80785046,132.4982762,0.03103442805,-0.4697307423,disengaged,1842.578633
630.117,11.80726133,46.6900998,132.4982762,0.02844665974,-0.4697307423,disengaged,1829.240888
630.625,11.8082987,46.57255717,132.4982762,0.03100574355,-0.4697307423,disengaged,1816.152219
